ID_CATATAN|NIK|NAMA_LENGKAP|TANGGAL|JAM|LOKASI|SUHU

79584|6555543287654321|fikri|2022-05-11|04:04|surabaya|35
40427|0000000000000000|ras|2022-05-11|19:44|malang|40
63110|4352654321654325|rahmad|12-05-2022|10:52 am|surabaya|36
44788|4352654321654325|rahmad|12-05-2022|13:57 pm|malang|37
31244|1234567898765432|yaiya|13-05-2022|13:34 pm|semarang|36
97635|1234567898765432|yaiya|13-05-2022|13:36 pm|malang|25
94869|9999999999999999|masr|18-05-2022|08:11 am|Malang|30
65713|9999999999999999|masr|18-05-2022|08:11 am|Surabaya|30
46066|5555566666888888|popy|18-05-2022|08:33 am|Lawang|29
8320|5555566666888888|popy|18-05-2022|08:38 am|Singosari|26
